Continent,year,month,ESVD2.0_Biome,Int$ Per Hectare Per Year,date
Europe,2018,12,Temperate forests and woodlands,34.59475833333333,2018-12-01
Europe,2018,1,Temperate forests and woodlands,113.019675,2018-01-01
Europe,2018,2,Temperate forests and woodlands,113.019675,2018-02-01
Europe,2018,3,Temperate forests and woodlands,113.019675,2018-03-01
Europe,2018,4,Temperate forests and woodlands,113.019675,2018-04-01
Europe,2018,5,Temperate forests and woodlands,113.019675,2018-05-01
Europe,2018,6,Temperate forests and woodlands,113.019675,2018-06-01
Europe,2018,7,Temperate forests and woodlands,113.019675,2018-07-01
Europe,2018,8,Temperate forests and woodlands,113.019675,2018-08-01
Europe,2018,9,Temperate forests and woodlands,113.019675,2018-09-01
Europe,2018,10,Temperate forests and woodlands,113.019675,2018-10-01
Europe,2018,11,Temperate forests and woodlands,113.019675,2018-11-01
Europe,2018,12,Temperate forests and woodlands,113.019675,2018-12-01
Europe,2018,1,Temperate forests and woodlands,20.402933333333333,2018-01-01
Europe,2018,2,Temperate forests and woodlands,20.402933333333333,2018-02-01
Europe,2018,3,Temperate forests and woodlands,20.402933333333333,2018-03-01
Europe,2018,4,Temperate forests and woodlands,20.402933333333333,2018-04-01
Europe,2018,5,Temperate forests and woodlands,20.402933333333333,2018-05-01
Europe,2018,6,Temperate forests and woodlands,20.402933333333333,2018-06-01
Europe,2018,7,Temperate forests and woodlands,20.402933333333333,2018-07-01
Europe,2018,8,Temperate forests and woodlands,20.402933333333333,2018-08-01
Europe,2018,9,Temperate forests and woodlands,20.402933333333333,2018-09-01
Europe,2018,10,Temperate forests and woodlands,20.402933333333333,2018-10-01
Europe,2018,11,Temperate forests and woodlands,20.402933333333333,2018-11-01
Europe,2018,12,Temperate forests and woodlands,20.402933333333333,2018-12-01
Europe,2018,1,Temperate forests and woodlands,2.1607,2018-01-01
Europe,2018,2,Temperate forests and woodlands,2.1607,2018-02-01
Europe,2018,3,Temperate forests and woodlands,2.1607,2018-03-01
Europe,2018,4,Temperate forests and woodlands,2.1607,2018-04-01
Europe,2018,5,Temperate forests and woodlands,2.1607,2018-05-01
Europe,2018,6,Temperate forests and woodlands,2.1607,2018-06-01
Europe,2018,7,Temperate forests and woodlands,2.1607,2018-07-01
Europe,2018,8,Temperate forests and woodlands,2.1607,2018-08-01
Europe,2018,9,Temperate forests and woodlands,2.1607,2018-09-01
Europe,2018,10,Temperate forests and woodlands,2.1607,2018-10-01
Europe,2018,11,Temperate forests and woodlands,2.1607,2018-11-01
Europe,2018,12,Temperate forests and woodlands,2.1607,2018-12-01
Europe,2018,1,Temperate forests and woodlands,9.121116666666667,2018-01-01
Europe,2018,2,Temperate forests and woodlands,9.121116666666667,2018-02-01
Europe,2018,3,Temperate forests and woodlands,9.121116666666667,2018-03-01
Europe,2018,4,Temperate forests and woodlands,9.121116666666667,2018-04-01
Europe,2018,5,Temperate forests and woodlands,9.121116666666667,2018-05-01
Europe,2018,6,Temperate forests and woodlands,9.121116666666667,2018-06-01
Europe,2018,7,Temperate forests and woodlands,9.121116666666667,2018-07-01
Europe,2018,8,Temperate forests and woodlands,9.121116666666667,2018-08-01
Europe,2018,9,Temperate forests and woodlands,9.121116666666667,2018-09-01
Europe,2018,10,Temperate forests and woodlands,9.121116666666667,2018-10-01
Europe,2018,11,Temperate forests and woodlands,9.121116666666667,2018-11-01
Europe,2018,12,Temperate forests and woodlands,9.121116666666667,2018-12-01
Europe,2018,1,Temperate forests and woodlands,36.81434166666667,2018-01-01
Europe,2018,2,Temperate forests and woodlands,36.81434166666667,2018-02-01
Europe,2018,3,Temperate forests and woodlands,36.81434166666667,2018-03-01
Europe,2018,4,Temperate forests and woodlands,36.81434166666667,2018-04-01
Europe,2018,5,Temperate forests and woodlands,36.81434166666667,2018-05-01
Europe,2018,6,Temperate forests and woodlands,36.81434166666667,2018-06-01
Europe,2018,7,Temperate forests and woodlands,36.81434166666667,2018-07-01
Europe,2018,8,Temperate forests and woodlands,36.81434166666667,2018-08-01
Europe,2018,9,Temperate forests and woodlands,36.81434166666667,2018-09-01
Europe,2018,10,Temperate forests and woodlands,36.81434166666667,2018-10-01
Europe,2018,11,Temperate forests and woodlands,36.81434166666667,2018-11-01
Europe,2018,12,Temperate forests and woodlands,36.81434166666667,2018-12-01
Europe,2018,1,Temperate forests and woodlands,27.825175,2018-01-01
Europe,2018,2,Temperate forests and woodlands,27.825175,2018-02-01
Europe,2018,3,Temperate forests and woodlands,27.825175,2018-03-01
Europe,2018,4,Temperate forests and woodlands,27.825175,2018-04-01
Europe,2018,5,Temperate forests and woodlands,27.825175,2018-05-01
Europe,2018,6,Temperate forests and woodlands,27.825175,2018-06-01
Europe,2018,7,Temperate forests and woodlands,27.825175,2018-07-01
Europe,2018,8,Temperate forests and woodlands,27.825175,2018-08-01
Europe,2018,9,Temperate forests and woodlands,27.825175,2018-09-01
Europe,2018,10,Temperate forests and woodlands,27.825175,2018-10-01
Europe,2018,11,Temperate forests and woodlands,27.825175,2018-11-01
Europe,2018,12,Temperate forests and woodlands,27.825175,2018-12-01
Europe,2018,1,Temperate forests and woodlands,36.336016666666666,2018-01-01
Europe,2018,2,Temperate forests and woodlands,36.336016666666666,2018-02-01
Europe,2018,3,Temperate forests and woodlands,36.336016666666666,2018-03-01
Europe,2018,4,Temperate forests and woodlands,36.336016666666666,2018-04-01
Europe,2018,5,Temperate forests and woodlands,36.336016666666666,2018-05-01
Europe,2018,6,Temperate forests and woodlands,36.336016666666666,2018-06-01
Europe,2018,7,Temperate forests and woodlands,36.336016666666666,2018-07-01
Europe,2018,8,Temperate forests and woodlands,36.336016666666666,2018-08-01
Europe,2018,9,Temperate forests and woodlands,36.336016666666666,2018-09-01
Europe,2018,10,Temperate forests and woodlands,36.336016666666666,2018-10-01
Europe,2018,11,Temperate forests and woodlands,36.336016666666666,2018-11-01
Europe,2018,12,Temperate forests and woodlands,36.336016666666666,2018-12-01
Europe,2018,1,Temperate forests and woodlands,37.787483333333334,2018-01-01
Europe,2018,2,Temperate forests and woodlands,37.787483333333334,2018-02-01
Europe,2018,3,Temperate forests and woodlands,37.787483333333334,2018-03-01
Europe,2018,4,Temperate forests and woodlands,37.787483333333334,2018-04-01
Europe,2018,5,Temperate forests and woodlands,37.787483333333334,2018-05-01
Europe,2018,6,Temperate forests and woodlands,37.787483333333334,2018-06-01
Europe,2018,7,Temperate forests and woodlands,37.787483333333334,2018-07-01
Europe,2018,8,Temperate forests and woodlands,37.787483333333334,2018-08-01
Europe,2018,9,Temperate forests and woodlands,37.787483333333334,2018-09-01
Europe,2018,10,Temperate forests and woodlands,37.787483333333334,2018-10-01
Europe,2018,11,Temperate forests and woodlands,37.787483333333334,2018-11-01
Europe,2018,12,Temperate forests and woodlands,37.787483333333334,2018-12-01
Europe,2012,1,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-01-01
Europe,2012,2,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-02-01
Europe,2012,3,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-03-01
Europe,2012,4,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-04-01
Europe,2012,5,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-05-01
Europe,2012,6,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-06-01
Europe,2012,7,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-07-01
Europe,2012,8,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-08-01
Europe,2012,9,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-09-01
Europe,2012,10,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-10-01
Europe,2012,11,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-11-01
Europe,2012,12,Temperate forests and woodlands; Boreal and montane forests and woodlands,4.930908333333334,2012-12-01
Europe,2012,1,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-01-01
Europe,2012,2,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-02-01
Europe,2012,3,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-03-01
Europe,2012,4,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-04-01
Europe,2012,5,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-05-01
Europe,2012,6,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-06-01
Europe,2012,7,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-07-01
Europe,2012,8,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-08-01
Europe,2012,9,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-09-01
Europe,2012,10,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-10-01
Europe,2012,11,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-11-01
Europe,2012,12,Temperate forests and woodlands; Boreal and montane forests and woodlands,10.801041666666668,2012-12-01
Europe,2012,1,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-01-01
Europe,2012,2,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-02-01
Europe,2012,3,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-03-01
Europe,2012,4,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-04-01
Europe,2012,5,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-05-01
Europe,2012,6,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-06-01
Europe,2012,7,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-07-01
Europe,2012,8,"Marine; Coastal systems; Inland wetlands; Rivers and lakes; Temperate forests and woodlands; Boreal and montane forests and woodlands; Rangelands, natural grasslands and savannas; Human made structures",2.5792333333333333,2012-08-01
